Title,Director,Cast,genres,original_language,overview,popularity,release_date,runtime,title,vote_average,emotion_mood,genre_mood,final_mood
Kaun Pravin Tambe?,Jayprad Desai,Shreyas Talpade,Drama,hi,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,3.118,2022.0,2 hrs 13 min,Kaun Pravin Tambe?,7.3,Happy,Emotional,Emotional
Cobalt Blue,Sachin Kundalkar,"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Poornima Indrajith","Romance,Drama",hi,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",5.029,2022.0,1 hrs 52 min,Cobalt Blue,6.4,Thrilling,Romantic,Romantic
Dasvi,Tushar Jalota,"Abhishek Bachchan,Yami Gautam,Nimrat Kaur","Drama,Comedy",hi,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",4.485,2022.0,2 hrs 7 min,Dasvi,5.4,Intense,Emotional,Intense
Hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma","Drama,Romance",hi,"In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",3.69,2022.0,2 hrs 2 min,Hurdang,5.0,Intense,Emotional,Intense
Jersey,Gowtam Tinnanuri,"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",Drama,hi,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",9.077,2022.0,2 hrs 55 min,Jersey,7.0,Happy,Emotional,Emotional
Operation Romeo,Shashant Shah,"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam","Drama,Thriller",hi,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,1.853,2022.0,2 hrs 15 min,Operation Romeo,6.2,Thrilling,Emotional,Emotional
Runway 34,Ajay Devgn,"Amitabh Bachchan,Ajay Devgn,Rakul Preet,Boman Irani","Thriller,Drama",hi,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",7.258,2022.0,2 hrs 21 min,Runway 34,6.5,Thrilling,Thrilling,Thrilling
Heropanti 2,Ahmed Khan,"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria","Action,Drama,Romance",hi,"Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead.",5.625,2022.0,2 hrs 22 min,Heropanti 2,4.8,Sad,Intense,Sad
Mere Desh Ki Dharti,Faraz Haider,"Anupriya Goenka,Anant Vidhaat,Brijendra Kala","Comedy,Drama",hi,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,2.841,2022.0,2 hrs 22 min,Mere Desh Ki Dharti,7.2,Happy,Happy,Happy
Thar,Raj Singh Chaudhary,"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana","Western,Action,Thriller,Drama,Crime",hi,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,4.267,2022.0,1 hrs 48 min,Thar,6.4,Thrilling,Intense,Intense
